xcor ycor
-127.0 326.0
-180.0 308.0
-129.0 259.0
-176.0 234.0
-73.0 205.0
-155.0 184.0
-132.0 164.0
-207.0 128.0
-60.0 129.0
77.0 80.0
135.0 18.0
144.0 137.0
250.0 108.0
225.0 86.0
229.0 32.0
263.0 28.0
279.0 67.0
291.0 100.0
303.0 173.0
59.0 16.0
5.0 8.0
-107.0 25.0
-268.0 18.0
-188.0 -83.0
59.0 -52.0
-36.0 -161.0
-78.0 -127.0
-228.0 -192.0
-182.0 -224.0
-173.0 -312.0
-117.0 -311.0-127.0 326.0
-180.0 308.0
-129.0 259.0
-176.0 234.0
-73.0 205.0
-155.0 184.0
-132.0 164.0
-207.0 128.0
-60.0 129.0
77.0 80.0
135.0 18.0
144.0 137.0
250.0 108.0
225.0 86.0
229.0 32.0
263.0 28.0
279.0 67.0
291.0 100.0
303.0 173.0
59.0 16.0
5.0 8.0
-107.0 25.0
-268.0 18.0
-188.0 -83.0
59.0 -52.0
-36.0 -161.0
-78.0 -127.0
-228.0 -192.0
-182.0 -224.0
-173.0 -312.0
-117.0 -311.0

